dish_name,ingredient_name
Menthya Matvadi Palya Recipe - Madhwa Brahmin Style Methi-Chana Dal Sabzi,"salt,mustard seeds,coconut,asafoetida,methi leaves,curry leaves,curry leaves,dry red chillies,corianderseeds,cumin seeds,turmeric powder,chana dal,sunflower oil"
Goan Sorak Curry Recipe,"salt,kashmiri dry red chilli,coconut,kokum,corianderleaves,jaggery,cloves garlic,water,corianderseeds,onion,cumin seeds,turmeric powder,green chillies,sunflower oil"
Stir Fried Tofu and Celery Recipe,"salt,corn flour,celery,soy sauce,ginger garlic paste,green chilli sauce,sugar,onion,black pepper powder,tofu"
Ice Wine Panna Cotta Recipe,"heavy whipping cream,sugar,lemon,ice wine,blackberries berries"
Danyachi Amti Recipe (Maharashtrian Style Groundnut Curry),"ghee,water,sugar,corianderleaves,cumin seeds,peanuts,salt,buttermilk amsul,green chillies"
Pacha Payir Kulambu Recipe (South Indian Style Green Gram Curry),"tomato,salt,sambar powder,asafoetida,mustard seeds,red chilli powder,dry red chillies,onion,cumin seeds,coriander powder,green moong dal,turmeric powder,green chillies,sunflower oil"
Whole Wheat And Ragi Crepe With Muesli And Strawberry Recipe,"baking powder,wheat flour,salt,almond butter,eggs,nutmeg powder,strawberries,ragi flour,vanilla,muesli"
Palak Bhajia Recipe - Spinach Pakoras,"salt,cumin powder,asafoetida,ajwain,red chilli powder,baking soda,gram flour,rice flour,turmeric powder,spinach leaves"
Chinese Bhel Recipe - No Onion No Garlic,"salt,green beans,wheat noodles,soy sauce,carrot,black peppercorns,tomato ketchup,corianderleaves,green bell pepper,red chilli sauce"
Corn Halwa Recipe - Makki Ka Halwa,"saffron strands generous,ghee,cardamompodsseeds,milk,sugar,sweet corn,cashews"
Thandu Keerai Poriyal Recipe - Amaranth Leaves Stir Fry,"salt,mustard seeds,asafoetida,coconut,curry leaves,white urad dal,cumin seeds,green amaranth leaves"
Kovakka Thoran (Poriyal) Recipe,"salt,coconut,mustard seeds,curry leaves,tindoradesired shape,cumin seeds,turmeric powder,green chillies"
 Chicken Tikki Recipe,"turmeric powder,salt,eggs,cumin powder,red chilli powder,ginger garlic paste,onion,chicken mince,oil,coriander powder,corianderleaves,rice flour,garam masala powder,bread crumbs"
Red Velvet Cake Recipe,"cheese,baking powder,corn flour,britannia,heavy whipping cream,icing sugar,white vinegar,baking soda,eggs separated,vanilla,caster sugar,cocoa powder,red food color,flour,buttermilk,butter"
Karatyacho Fodi Recipe - Pan Fried Bitter Gourd,"salt,karela,red chilli powder,sooji,turmeric powder,virgin olive oil oil"
Jowar Atta Roti Recipe - Sorghum Wheat Phulka Recipe,"salt,wheat flour,water knead,jowar flour,black pepper powder,sunflower oil"
Cream Cheese Scrambled Eggs Recipe,"salt,sunflower oil,onion,black pepper powder,green bell pepper,eggs,green chillies,cheese britannia'classic cheese z"
Pavakkai Poriyal Recipe - Karela Ki Sabzi,"kareladices,coriander,salt,amchur,asafoetida,mustard seeds,red chilli powder,jaggery suit,curry leaves,white urad dal,peanuts,turmeric powder,sambar powder,sunflower oil"
 Manga Ogre Recipe,"turmeric powder,salt,rye,corianderleaves,rice,coconut,tsp asafoetida,jaggery,chana dal,oil,mango,spoon curry leaves,green chillies,cumin seeds"
 Lobia Masala Recipe,"tomato,turmeric powder,cowpea,ginger,salt,olive oil,corianderleaves,cinnamon,jaggery,red chilli powder,cloves garlic,onion,lemon,coriander powder,green chillies,cumin seeds,garam masala powder"
Vietnamese Rice Pocket Recipe With Caramelised Onions & Chillies,"dry red chillies,onion,rice,sunflower oil"
Mixed Vegetable Samosa Recipe,"salt,ginger,green chilli,mustard seeds,ajwain,green peas,red chilli powder,carrot,curry leaves,corianderseeds,onion,lemon,potato,coriander powder,flour,turmeric powder,garam masala powder,sunflower oil"
Lugai Gosht Recipe - Mutton In Spicy Tomato Onion Gravy,"tomato,salt,cumin powder,ginger,ghee,cardamompodsseeds,red chilli powder,black peppercorns,ginger garlic paste,dry red chillies,onion,mutton,cinnamon stick,cumin seeds,green chillies,sunflower oil"
Kalkandu (Kallusakkare) Pongal Recipe | Rice Pudding with Rock Candy,"rice,ghee,milk,saffron strands,edible camphor,candy sugar,mixed dry fruits used raisins cashews"
Shakkarkandi ke Laddu | Sweet Potato Laddu Recipe,"cashew nuts,ghee,coconut filling,raisins,sugar,badam,cardamom powder,sweet potatoes"
 Carrot Chutney (Recipe In Hindi),"salt,good,carrot,mustard,curry leaves,dry red chillies,oil"
Dal Palak Recipe With Moong & Masoor Dal,"tomato,salt,yellow moong dal,ginger,cumin powder,ghee,masoor dal,dry red chillies,cumin seeds,turmeric powder,spinach leaves,garam masala powder"
Mumbai Style Pani Puri Recipe,"green moong dal black gram,sweet chutney,pani puris,green chutney,boondi"
Spicy Moroccan Eggs Recipe,"tomato,yellow bell pepper,vegetable stock,salt,harissa paste,spinach leavesbunch,corianderleaves,cloves garlic,virgin olive oil,onion,eggs,pepper,coriander powder,kala chana"
Zoodles Salad Recipe - Zucchini Noodles,"salt,virgin olive oil,basil leaves,lemon,black pepper powder,green zucchini,cherry tomato"
Paneer Makhana Gulgule Chaat Recipe - No Onion No Garlic,"salt,cumin powder,green chilli,corianderleaves,paneer,red chilli powder,sweet chutney,gram flour,phool makhana,lemon,black pepper powder,cucumber,potato,green chutney"
Cheesy Pasta Casserole With Broccoli And Cheese Recipe,"cheese,salt,britannia,penne pasta other pasta,,milk,cloves garlic,virgin olive oil,broccoli,pepper,parmesan cheese,dijon mustard,dill leaves basil herb flavour"
Insalata Caprese Salad Recipe,"tomato,salt,black pepper powder ground,red wine vinaigrette,mozzarella cheese,virgin olive oil,basil leaves"
Mutton Matar Keema Recipe -Minced Mutton With Green Peas,"corianderleaves,ajwain,cloves garlic,onion,black pepper powder,turmeric powder,green chillies,sunflower oil,salt,black cardamom,cardamompodsseeds,dry red chillies,red chilli powder,curd,ginger,bay leaf,green peas,cinnamon stick,mutton,coriander powder,potato,cloves"
Rajma Wrap Recipe With Carrot Cucumber Sandwich Spread,"salt,red bell pepper,sunflower oil,cloves garlic,veeba pizza pasta sauce,onion,veeba carrot cucumber sandwich,rajma,mint leaves,eggsless mayonnaise,wheat flour tortilla large roti"
 Palak Chana Dal Recipe,"turmeric powder,salt,tomato,cumin,spinach,ghee,asafoetida,cumin powder,red chilli powder,water,ginger garlic paste,chana dal,dry red chillies,onion,green chillies"
Apple Pancake Mess Recipe,"baking powder,salt,eggs,coconut,milk,apple,curd,sugar,brown sugar,chia seeds,pomegranate fruit kernels,flour,butter,cinnamon powder"
French Onion Tart Recipe,"salt,tme leaves,water,lemon,sugar,butter,flour,red onion,balsamic vinegar,salt two"
Rajasthani Makki Ka Chatpata Dhokla Recipe,"salt,makki ka atta,cloves garlic,water,baking soda,corianderleaves,green chillies"
Garlic And Mushroom Soup Recipe,"wheat brown bread,tomato,vegetable stock,salt,leek,cloves garlic,virgin olive oil,onion,lemon,tme leaves,parsley leaves fistful,pepper,button mushrooms"
Arbi Ke Meethe Chande Recipe,"sugar,colocasia root,water,ghee"
"Millet Cottage Cheese Fritters Recipe-Flavored With  Za'atar,","wheat brown bread,salt,foxtail millet,paneer,sesame seedsroll,za'atar,corianderleaves,butter"
Spicy Whole Wheat Roti Taco Bowls Recipe,"re beans,sour,phulka leftover,tomato salsa mexican salsa,cheddar cheese,butter olive oil brushing the rotis"
Egyptian Koshari Recipe,"tomato,vegetable stock water,red wine vinaigrette,paprika powder,kabuli chanacanned,black peppercorns,cloves garlic,virgin olive oil,corianderseeds,onion,cumin seeds,cardamom powder,salt,rice,cinnamon stickground,pepper,nutmeg ground,bay leaves,red chilli flakes,cloves,macaroni pasta vermicelli,masoor dal"
Shakarkandi Ke Gulab Jamun Recipe (Sweet Potato Gulab Jamun),"salt,drops rose water,saffron strands,water,sugar,cardamom powder,ghee,oil,flour,sweet potato"
Kadai Chicken Recipe - Chicken Cooked With Onion And Capsicum,"tomato,salt,ginger,red chilli powder,cloves garlic,dry red chilli,corianderleaves,onion,cumin seeds,green bell pepper,chicken breasts,turmeric powder,garam masala powder,sunflower oil"
Hayagreeva Recipe,"jaggery,dry coconut,poppy seeds,cardamom powder,chana dal"
Burnt Garlic Pasta with Mushroom Recipe,"salt,parmesan cheese,reserved water from boiling pasta,pasta wheat,milk,water,virgin olive oil,cloves garlic flakes,onion,black pepper powder,button mushrooms,butter,cauliflowerflorets,dried oregano"
Tomato Garlic Chutney Recipe,"tomato,salt,mustard seeds,red chilli powder,cloves garlic,green chillies,sunflower oil"
Neymeen Vatti Pattichathu Recipe - Seer Fish In Spicy Masala,"coconut milk,salt,ginger,green chilli,tamarind water,cloves garlic,curry leaves,dry red chillies,onion,lemon,coconut oil,seer fish,turmeric powder"
Moroccan Chickpeas Curry with Quinoa and Coriander Curd Recipe,"tomato,salt,cumin powder,ginger,hung curd,white pepper powder,paprika powder,mint leaves,mixed vegetables,corianderleaves,lemon,lemon,black pepper powder,coriander powder,quinoa,sunflower oil"
Mutton Khurdi Recipe - Bohra Style White Mutton Stock Soup,"salt,wheat flour,sunflower oil,bay leaves,clovescloves,black pepper corns,milk,mint leaves,water,onion,cumin seeds,cinnamon stick,lemon,black pepper powder,ginger paste,green chillies,mutton on the,garlic paste"
Iyengar Style Masala Toast Recipe,"tomato,salt,achari mayo,ginger,garam masala powder,green chilli,mustard seeds,asafoetida,carrot,nutralite classic,crusty bread log,onion,clovesgarlic,cabbage"
Andhra Style Mutton Curry Recipe,"tomato,salt,corianderleaves,red chilli powder,dry coconut,water,ginger garlic paste,onion,mutton,coriander powder,turmeric powder,kasuri methi,garam masala powder,sunflower oil"
Delicious Arabic Sweet Kunafa Recipe (Knafeh),"corn flour,pistachios,milk,rose water,water,ricotta cheese,sugar,lemon,kunafa dough,butter"
Pineapple Carpaccio Recipe - Spiced Pineapple Salad with Ginger & Mint,"lemon,pineapple,ginger,mint leaves,virgin olive oil,dry red chilli,orange juice,salt regular salt,fruits like pomegranate strawberries topping"
Churros Recipe With Cinnamon & Sugar | Eggless Recipe,"butterapproximately,salt,baking powder eggs,milk,water,sugar,caster sugar,flour,cinnamon powder"
Buttered Potato Cubes Recipe - Finger Food For Babies Above 9 Months,"salt,cumin powder,potato,black pepper powder,butter"
Sweet Potato & Green Bean Salad Recipe,"salt,green beans,green chilli,virgin olive oil,cherry tomato (or large tomato,lemon,pepper,red onion,sweet potatoes"
Shikampuri Kebab Recipe - Kebabs made with Brown Chickpeas,"salt,ginger,garam masala powder,hung curd,amchur,potato,red chilli powder,cloves garlic,gram flour,corianderleaves,lemon,black pepper powder,coriander powder,green chillies,kala chana,sunflower oil"
Dum Ke Baingan Recipe,"salt,ginger,green brinjalfour,cardamompodsseeds,bay leaf,cloves garlic,dry red chillies,cinnamon stick,lemon,cumin seeds,onion,black pepper powder,turmeric powder,cloves,sunflower oil"
Healthy Black Bean Burger Recipe Without Bun,"tomato,cumin powder,corianderleaves,virgin olive oil,jalapenos,onion,black pepper powder,black beans canned,salt,pineapple,red chilli sauce sriracha,black olives,beetroot,walnuts,avocado ripened,brown rice,jaggery coconut sugar,apple cider vinegar vinegar,red chilli powder,iceberg lettuce,lemon,tomato ketchup,maple syrup,wheat bread crumbs"
Chettinad Poondu Rasam Recipe | Spicy Garlic Rasam,"tomato,salt,cumin powder,arhar dal,tamarind water,mustard seeds,ghee,asafoetida,red chilli powder,cloves garlic,curry leaves,sugar,corianderleaves,cumin seeds,corianderpowder,black pepper powder,turmeric powder"
Bonda Mor Kuzhambu Recipe,"salt,ginger,arhar dal,chana dal,green chilli,coconut,asafoetida,mustard seeds,sunflower oil the bonda,curry leaves,white urad dal,corianderseeds,dry red chillies,curd sour,sunflower oil"
Chana Turai/Nenua Chana Sabzi Recipe (Ridge Gourd with Black Chana Recipe),"green chilli,amchur,asafoetida,mustard seeds,mustard oil,ridge gourd,red chilli powder,cloves garlic,onion,methi seeds,cumin seeds,coriander powder,turmeric powder,kala chana"
Coorg Style Bollari Barthad Recipe - Mangalore Cucumber Stir Fry,"coconut,mustard seeds,cloves garlic,dry red chilli,curry leaves,white urad dal,corianderseeds,onion,cumin seeds,dry red chillies,mangalorean cucumber,sunflower oil"
Spinach Cottage Cheese Cannelloni in Roasted Pepper Sauce Recipe,"tomato,salt,spinach,paneer,pepper salt,cloves garlic,basil leaves,red chilli flakes,onion,garlic,green bell pepper,button mushrooms,butter,sunflower oil"
Lahsuni Paneer Recipe - Paneer Flavoured With Garlic,"salt,corianderleaves,paneer,cloves garlic,sugar,dry red chillies,onion,vinegar,cumin seeds,sunflower oil"
Kandathippili Rasam Recipe - Long Pepper Rasam,"tomato,salt,green chilli,tamarind water,asafoetida,mustard seeds,cloves garlic,curry leaves,corianderleaves,cumin seeds,cloves garlic mortar pestle,pepper,sunflower oil"
Mavinakayi Menasinakai Curry Recipe  - Raw Mango Coconut Curry,"salt,tamarind water,coconut,asafoetida,mustard seeds,jaggery,curry leaves,mango,white urad dal,dry red chillies,sesame seeds,methi seeds,cumin seeds,coconut oil,turmeric powder,chana dal"
Aloo Chaat Recipe With Baked Beans - Roz Ka Khana With Figaro Olive Oil,"wheat brown bread,cumin powder,coriander,salt,anardana powder,chaat masala powder,sweet chutney,sev topping,virgin olive oil toasting the bread,onion,baked beans,green chutney,potato,green chillies"
Soft Masala Dosa With Red Chutney Recipe,"idli dosa batter,green chillies,ginger,coriander,salt,chaat masala powder,curry leaves,lahsun ki chutney,onion,potato,turmeric powder,potato masala,sunflower oil"
"Sweet Potato, Broccoli And Tofu Curry Recipe","tomato,salt,cashew nuts,ginger,sweet potato skin,green chilli,cumin powder,red chilli powder,cloves garlic,onion,broccoli,tofu,turmeric powder,garam masala powder,kala jeera"
Crispy Crunchy Roti Ke Papad Recipe,"salt,tawa paratha rotis leftover,chaat masala powder,red chilli powder,sunflower oil"
Capsicum Masala Poriyal Recipe (South Indian Style Bell Pepper Stir Fry),"garlic cloves,salt,mustard seeds,coconut,curry leaves,corianderleaves,dry red chillies,red yellow green bell pepper,onion,peanuts,cumin seeds,sunflower oil"
Chicken Manchurian Dry Recipe,"salt,spring onion greens,corn flour,ginger,eggs,sesameoil,soy sauce,cloves garlic,red chilli sauce,tomato ketchup,onion,vinegar,brown sugar,chicken breasts bless,green chillies,sunflower oil"
Pepper Tea Recipe - Kali Mirch Chai,"ginger,black peppercorns,water,lemon"
Cumin Spiced Potato And Leek Soup Recipe,"salt,vegetable stock,leek,water,red chilli flakes,virgin olive oil,onion,cumin seeds,potato"
Lebanese Style Shish Tawook Recipe - Grilled Chicken Skewers,"salt,black pepper powder ground,ginger,boneless chicken,hung curd,paprika powder,cloves garlic,virgin olive oil,tomato ketchup,onion,lemon,thyme leaves,green bell pepper,dried oregano"
Bengali Bhindi Doi Posto Recipe,"salt,mustard oil,bay leaf,gram dal,red chilli powder,dry red chilli,curd,poppy seeds,panch phoran masala,coriander powder,turmeric powder,bhindipiece"
Cajun Kidney beans Rice With Soya Chunks Recipe,"salt,sunflower oil,rice,red chilli powder,red chilli flakes,ginger garlic paste,sugar,corianderleaves,onion,cumin seeds,thyme leaves,rajma,soy,red chilli sauce,dried oregano"
Persian Chicken Kidney Bean Stew Recipe,"salt,sunflower oil,corianderleaves,red chilli powder,cloves garlic,onion,chicken,parsley leaves,rajma,turmeric powder,kasuri methi,dried oregano"
Papad er Dalna Recipe - Bengali Papad Curry,"papad,tomato,cumin powder,ginger,salt,bay leaf,ghee,potato,red chilli powder,dry red chilli,sugar,cumin seeds,turmeric powder,garam masala powder,sunflower oil"
Cheesy Potato Peas Potli Recipe,"corianderleaves,ajwain,onion,cumin seeds,turmeric powder,salt,green chilli,sunflower oil ghee,baking soda,kasuri methibetween fingers,garam masala powder,red chilli powder,water,green peaspeas,cheese,ginger,amchur,vivatta maida,sunflower oil brush,coriander powder,potato"
Pudina Rice Recipe,"salt,rice,mustard seeds,white urad dal,onion,tamarind paste,mint leaves,green chillies,sunflower oil"
Sugar Free Pineapple Dates Cake Recipe,"pineapple,dates seedless,raisins,water,salted butter,baking soda,vanilla,eggs,flour"
Kathal Masaledar Sabzi Recipe - Jackfruit Masala Sabzi,"tomato,black cardamom,cumin powder,ginger,salt,mustard oil,bay leaf,asafoetida,corianderleaves,red chilli powder,cloves garlic,curd,onion,cinnamon stick,jackfruit,coriander powder,potato,garam masala powder"
Delicious Breakfast Anda Ghotala Recipe With Butter Pav,"tomato,salt,pav bhaji masala,cumin powder,boiled eggs,green chilli,corianderleaves,red chilli powder,cloves garlic,onion,cumin seeds,coriander powder,eggs,turmeric powder,butter"
Achari Aloo Sabzi Recipe - Potatoes In Spicy Pickle Masala,"salt,mustard oil,asafoetida,punjabi style mango pickle,corianderleaves,jaggery,red chilli powder,cloves garlic,dry red chillies,onion,cumin seeds,potato,turmeric powder,garam masala powder"
Panjiri Ladoo Recipe,"ghee,fennel seeds,ajwain,black peppercorns,dry ginger powder,corianderseeds,cumin seeds,caster sugar"
Palak Paneer Bhurji Recipe -Spiced Cottage Cheese Scramble With Spinach Recipe,"tomato,salt,amchur,paneer,spinach leaves,red chilli powder,cloves garlic,onion,cumin seeds,green chillies,butter,garam masala powder,sunflower oil"
Fujian Style Green Vegetables Stir Fry Recipe,"salt,bok choy,spring onion,cloves garlic,dark soy sauce,red chilli sauce,button mushrooms,lotus stem,cabbage,sunflower oil"
Petha Wadi Sabzi Recipe,"tomato,salt,ginger,parangikai pumpkin,corianderleaves,red chilli powder,cloves garlic,onion,badi,cumin seeds,coriander powder,turmeric powder,green chillies,sunflower oil"
Jain Style Dal Makhani Recipe,"tomato,black cardamom,salt,green chilli,ghee,milk,red chilli powder,dry ginger powder,cinnamon stick,cumin seeds,rajma,ginger julienne,black urad dal,cloves,garam masala powder"
Adraki Rajma Masala Recipe - Rajma Masala Recipe,"tomato,coriander,salt,ginger,bay leaf,ghee,red chilli powder,cloves garlic using mortar pestle,dry ginger powder,onion,rajma,black pepper powder,coriander powder,turmeric powder,garam masala powder"
Muesli Banana Fritters Recipe,"salt,muesli,cocoa powder,nendra pazham bananaangles,butter"
Canadian Egg Free Butter Tart Recipe (Eggless),"salt,corn flour,hung curd,nutmeg powder,raisins,vanilla,brown sugar,flour,butter,cinnamon powder"
Beet Carrot and Apple Salad in Orange Mustard Vinaigrette Recipe,"salt,orange,mustard sauce,carrot spiralized noodles,virgin olive oil,apple cored spiralized noodles,orange juice,lemon,black pepper powder,mint leaves,beetroot spiralized noodles,sesame seeds,walnuts"
Mango Tomato Bean Salsa Recipe,"green chilli,kosher salt,mango,mint leaves,lemon,rajma,tomato after removing the seeds"
Guacamole Soup Recipe - Spiced Avocado Soup,"salt,vegetable stock,avocados ripened,sour,corianderleaves,corn flour tortilla,virgin olive oil,jalapenos green chillies,black peppercorns,white vinegar,sugar,garlic,onion,lemon"
High Protein Soya Idli & Dosa Batter Recipe,"salt,soybeans,idli rice,methi seeds,chana dal,white urad dal"
"Bread, Paneer & Potato Instant Vada Recipe","wheat brown bread,salt,ginger,corianderleaves,paneer,potato,curd,onion,cumin seeds,sooji,rice flour,green chillies,sunflower oil"
Carrot Beet Amaranth Super Salad Recipe,"amaranth seeds,tahini,dried figs,carrot,basil leaves,beetroot,sesame seeds"
Paneer Kundan With Recipe,"tomato,salt,kashmiri red chilli powder,cardamompodsseeds,paneer,bay leaf,ghee,corianderleaves,curd,rose,corianderseeds,onion,cinnamon stick,cloves,garam masala powder"
Rajasthani Govind Gatta Curry Recipe,"cumin powder,corianderleaves,asafoetida,ajwain,cumin seeds,turmeric powder,green chillies,sunflower oil,salt,raisins,dry red chillies,garam masala powder,khoya,coconut,mustard seeds,red chilli powder,curd,cashew nuts,bay leaf,gram flour,coriander powder"
Maheri Recipe,"salt,asafoetida,ghee,barnyard millet,cumin seeds,buttermilk,turmeric powder"
Tamatar Wali Arbi Sabzi Recipe,"tomato,colocasia leaves,salt,kashmiri red chilli powder,sunflower oil,cloves garlic,corianderleaves,onion,panch phoran masala,coriander powder,turmeric powder,garam masala powder,tamarind lemon"
Achari Paratha Roll Recipe,"salt,wheat flour,achari masala,parangikai pumpkin,mustard seeds,asafoetida,green peas,red chilli powder,potato,turmeric powder,garam masala powder"
Garlic Spinach Balls Recipe,"salt,sunflower oil,spinach,flour,cloves garlic,red chilli powder,onion,potato,dried oregano"
Carrot Matar Paratha Recipe,"salt,wheat flour,coriander,cumin powder,ajwain,chaat masala powder,green peas,water,carrot,red chilli powder,onion,ghee the parathas,coriander powder,green chillies"
Eggplant Potato Alkaline Broth Recipe,"tomato,salt,sunflower oil,asafoetida,brinjal,mustard seeds,potato,red chilli powder,water,curry leaves,dry red chilli,white urad dal,methi seeds,turmeric powder,sambar powder,tamarind lemon"
Steamed Sweet Corn Recipe Flavored with Chaat Masala Recipe,"salt,black salt,sweet corn on the cob,chaat masala powder,lemon"
Jalapeno Potato Cheese Balls Recipe With Four Pepper Cheese Dip,"salt,hung curd,britannia cheese four pepper tango,mixed herbs,britannia cheese cubes,cloves garlic,parsley leaves,jalapenos,eggs,potato,wheat bread crumbs,sunflower oil"
Banana-Almond Butter Bread Recipe,"almond butter,baking powder,salt,eggs,chocolate ganache chocolate,baking soda,vivatta maida,sugar,almond meal,almonds,bananas,vanilla almond,cinnamon powder"
Masala Akki Roti Recipe - Spicy Rice Flour Flatbread,"salt,ginger,dill leaves,coconut,asafoetida,carrot,onion,cumin seeds,green bell pepper,rice flour,green chillies,cabbage,sunflower oil"
Eggless Wholewheat And Custard Powder Coconut Cookies Recipe,"salt,wheat flour,baking powder,coconut,milk,baking soda,vanilla,brown sugar,custard powder,sunflower oil"
Oats And Date Cookie Recipe,"baking powder,wheat flour,sunflower oil ghee,baking soda,vanilla,brown sugar,dates,instant oats"
Kongunadu Special Pattani Biryani Recipe (Green Peas Biryani From Kongunadu),"tomato,basmati rice,green chillies,ginger,salt,coriander,bay leaves,cardamompodsseeds,fennel seeds,pearl onionkept,green peas,cloves garlic,cinnamon stick,mint leaves,turmeric powder,cloves,sunflower oil"
Jowar Garlic Naan Recipe- Healthy Sorghum Naan,"salt,wheat flour,jowar flour,ghee,methi leaves,cloves garlic,dry yeast,curd,sugar"
Allahabadi Tehri Recipe (UP Style Vegetable Rice),"basmati rice,cumin powder,asafoetida,black cardamom,black peppercorns,cloves garlic,onion,turmeric powder,green chillies,salt,mustard oil,cardamompodsseeds,ginger y,red chilli powder,mixed vegetables mix potato,curd,lemon,bay leaf,ghee,cinnamon stick,coriander powder,cloves"
Asian Style Honey Chicken With Vegetables Recipe,"salt,green bell peppers,corn flour,cloves garlic,carrot,soy sauce,broccoli,chicken breasts,sunflower oil"
Kale Chane Ki Kadhi Recipe - Black Chickpea Kadhi,"gram flour,salt,mustard seeds,asafoetida,water,curd,curry leaves,dry red chillies,onion,cumin seeds,turmeric powder,green chillies,kala chana,sunflower oil"
Chicken Burrito Recipe,"tomato,yellow bell pepper,cumin powder,sour,paprika powder,cloves garlic,onion,rajma,black pepper powder,turmeric powder,salt,red bell pepper,tomato salsa,thyme leaves,cinnamon powder,tortillas,rice,red chilli powder,sugar,chicken,cheese,ginger,green bell pepper"
Healthy Fresh Vegetable Salad Bowl with Sour Yogurt Dressing Recipe,"yellow bell pepper,salt,hung curd,english cucumber,parsley leaves,tzatziki,onion,lemon,tofu,cherry tomato"
Badam Nu Gosht Recipe - Parsi Style Mutton In Almond Gravy,"tomato,salt,ginger,bay leaves,ghee,black pepper corns,milk,cloves garlic,dry red chillies,onion,badam,cinnamon stick,cloves,mutton on the"
Homemade Whole Wheat Pav Recipe / Ladi Pav,"salt,wheat flour,milk,dry yeast,flour,butter"
"Whole Wheat Pizza With Egg, Bell Peppers And Fresh Basil Recipe","tomato,pizza pasta sauce,red bell pepper,garlic salt,mixed herbs,mozzarella cheese,virgin olive oil,basil leaves chiffonade,pizza base wheat,fresno pepper,parmesan cheese,eggs"
Gorikayi Palya Recipe - Karnataka Style Gawar Phali Sabzi,"salt,mustard seeds,coconut,jaggery,cloves garlic,curry leaves,dry red chillies,tamarind,coconut oil,sesame seeds,gawar phalisnapped"
Zucchini Zoodles with mushroom Meatball Recipe,"tomato,cumin powder,virgin olive oil,cloves garlic,onion,dried oregano,cumin seeds,dried oregano,salt,wheat flour,thyme leaves,green zucchini,wheat bread crumbs,red chilli powder,parsley leaves,lemon,pepper,button mushrooms,kala chana,basil leaves"
Pakistani Style Tinde Ki Tarkari Recipe - Apple Gourds Cooked With Tomatoes,"tomato,tinda,salt,green chilli,cloves garlic using pestle mortar,red chilli flakes,corianderleaves,dry red chillies,cumin seeds,sunflower oil"
Fruit Chili Chutney - Andhra Red Chili Chutney Recipe,"salt,red chillies,asafoetida,mustard seeds,methi powder,gingelly oil,tamarind paste"
Potato Bonda Recipe Flavoured With Sambar Powder,"salt,corn flour,asafoetida,mustard seeds,red chilli powder,green peas,gram flour,soda,cumin seeds,coriander powder,potato,turmeric powder,sambar powder,garam masala powder,sunflower oil"
Leftover Carrot Cake Mini Trifle Recipe,"cheese,britannia,butter cold,sugar,vanilla,icing sugar,instant oats,flour,butter,carrot cake recipe leftover,walnuts"
Vendakkai Poriyal Recipe (South Indian Style Okra Stir Fry Spiced With Sambar Powder),"salt,asafoetida,mustard seeds,red chilli powder,curry leaves,bhindi,sambar powder"
Raw Banana Dosa Recipe,"idli dosa batter,salt,coconut,turmeric powder,banana"
Traditional Steamed Modak Recipe (Ukadiche Modak With Rice flour),"salt,nutmeg powder,coconut,ghee,cardamompodsseeds,pistachios,jaggery,raisins,water,poppy seeds,badam,rice flour,chironji"
Cabbage Besan Fry Recipe,"salt,red chilli powder,water,ginger garlic paste,gram flour,corianderleaves,cabbage,sunflower oil"
Indian Style Fajitas Recipe,"salt,green bell peppers,phulka vivatta wheat flour,mexican (or cumin powder,green zucchini,onion,button mushrooms,sunflower oil"
Homemade Tagliatelle Pasta with Capers and Bell peppers Recipe,"salt,wheat flour,red bell pepper,tme leaves,eggs,capers,virgin olive oil,cloves garlic,red chilli flakes,pepper,flour,dried oregano"
Jeera Rice Recipe - Cumin And Ghee Flavored Rice,"salt,cumin seeds,rice,ghee"
Broccoli With Lemon Butter Sauce Recipe,"salt,herbs cilantro),black peppercorns ground,lemon,butter,broccoli smer florets"
Paasi Paruppu Beans Poriyal Recipe - Moong Dal & French Beans Stir Fry,"salt,green beans,yellow moong dal,green chilli,mustard seeds,coconut,asafoetida,curry leaves,dry red chillies,sunflower oil"
Buckwheat and Oatmeal Chocochip Pancakes Recipe (Eggless),"mixed fruits,salt,peanut butter,maple syrup sugar,vanilla,cocoa powder,buckwheat flour,chocolate chips,flax seed powder,oats flour"
Banana Cream Pie Recipe,"salt,,milk,water,vanilla,caster sugar,cocoa powder,flour,icing sugar,butter"
Raw Jackfruit Kofta Curry Recipe - Kathal Kofta Curry Recipe,"tomato,cumin powder,asafoetida,corianderleaves,onion,cumin seeds,cardamom powder,turmeric powder,sunflower oil,salt,green chilli,sunflower oil ghee,raisins,flour,garam masala powder,coconut,red chilli powder,water,jackfruit,cinnamon stick,ginger paste"
Vegetable Biryani Recipe With Chatpata Aloo,"lemon,basmati rice,chaat masala powder,cloves garlic,carrot,black peppercorns,corianderseeds,onion,cumin seeds,black pepper powder,turmeric powder,green chillies,sunflower oil,salt,red yellow green bell pepper,star anise,red chilli powder,water,dry red chilli,ginger,bay leaves,ghee,amchur,cinnamon stick,potato,cloves"
Farali Aaloo Pattice Recipe,"salt,ginger,coconut,arrowroot flour,red chilli powder,sugar,lemon,peanuts,potato,green chillies,sunflower oil"
Himachali Pahari Mutton Recipe,"tomato,black cardamom,green chillies,ginger,salt,cardamompodsseeds,bay leaf,curd,onion,mutton,coriander powder,turmeric powder,cloves,garam masala powder,sunflower oil"
